Word	Definition	Part of speech	Category	Example sentence	Notes
jaman	era	noun	time		
jangan	don't/ shouldn't	verb			
jantan	male	adjective			
jantung	heart	noun	body		
jarak	distance	noun	travel		
jarang	seldom, rarely	adverb	time		
jari	finger	noun	body		
jatuh	fall	verb			
jauh	far	adjective			
jawab	answer	verb	social		
jaya	victorious, triumphant	adjective			
jelak	bored	adjective			
jelas	clear	adjective			
jelek	ugly, bad	adjective			
jendela	window	noun	home		
jijik	disgusted	adjective	social		
jika	if	conjunction			
jiwa	soul	noun	spiritual		
jual	sell	verb	shopping		
judi	gamble	verb			
juga	also	conjunction	grammar		
jumat	friday	noun	time		
jumlah	amount	noun	numbers		
jumput	pick up	verb			
juta	one million	adjective	numbers		
kabar	news	noun	social		
kabelnya	wire	noun			
kabunraya	botanic gardens	noun			
kaca	glass	noun			
kaca mata	reading glasses	noun			
kadang-kadang	sometimes	adverb	time		
kaget/ terkejut	surprised	adjective			
kah	huh?				
kain	cloth	noun	clothing		
kain meja	table cloth	noun			
kaiu	wood/ timber	noun			
kakak	brother	noun	family		
kaki	foot	noun	body		
kalau	if	conjunction			
kali	times	noun			
kalian	youse	pronoun			
kalimat	sentence	noun	grammar		
kamar	room	noun	home		
kamar cuci	bathroom	noun	home		
kamar kecil	toilet	noun	home		
kamar mandi	shower	noun	home		
kamar tidur	bedroom	noun	home		
kambing	goat	noun	animals		
kami	we except you	noun	social		
kamis	thursday	noun	time		
kampong	village	noun	travel		
kamu	you (informal)	noun	social		
kanan	right	noun	travel		
kandang	cage	noun	animals		
kangkung	water spinach	noun	food		
kantor	office	noun	business		
kapal	boat	noun	travel		
kapan	when/ what time?	adverb	time		
kapan-kapan	some time	adverb	time		
kasi sayang ibu	love of mother				
kasih	give	verb			
kata	word	noun	grammar		
kata-kata	quote	verb			
katak	frog	noun	animals		
kau	you (informal)	noun	social		
kawan	friend	noun	social		
kawat	net	noun			
kaya	rich	adjective	shopping		
ke	to	preposition			
keadaan	situation, condition	noun			
kebakaran	on fire	adjective	emergency		
keberapa	which number?	adverb			
kebetulan	what a conincidence!	expression			
